alias	canonical_biosample
B1_B	BMMC22_B1_B
CD14_pos_Mono	BMMC22_CD14_pos_Mono
CD16_pos_Mono	BMMC22_CD16_pos_Mono
CD4_pos_T_activated	BMMC22_CD4_pos_T_activated
CD4_pos_T_naive	BMMC22_CD4_pos_T_naive
CD8_pos_T	BMMC22_CD8_pos_T
CD8_pos_T_naive	BMMC22_CD8_pos_T_naive
Erythroblast	BMMC22_Erythroblast
G_M_prog	BMMC22_G_M_prog
HSC	BMMC22_HSC
ID2_hi_myeloid_prog	BMMC22_ID2_hi_myeloid_prog
ILC	BMMC22_ILC
Lymph_prog	BMMC22_Lymph_prog
MK_E_prog	BMMC22_MK_E_prog
NK	BMMC22_NK
Naive_CD20_pos_B	BMMC22_Naive_CD20_pos_B
Normoblast	BMMC22_Normoblast
Plasma_cell	BMMC22_Plasma_cell
Proerythroblast	BMMC22_Proerythroblast
Transitional_B	BMMC22_Transitional_B
cDC2	BMMC22_cDC2
pDC	BMMC22_pDC
10_cDC	PBMC_10_cDC
11_CD14.Mono.1	PBMC_11_CD14.Mono.1
12_CD14.Mono.2	PBMC_12_CD14.Mono.2
13_CD16.Mono	PBMC_13_CD16.Mono
17_B	PBMC_17_B
20_CD4.N1	PBMC_20_CD4.N1
22_CD4.M	PBMC_22_CD4.M
24_CD8.CM	PBMC_24_CD8.CM
25_NK	PBMC_25_NK
PBMC_10_cDC	PBMC_10_cDC
PBMC_11_CD14.Mono.1	PBMC_11_CD14.Mono.1
PBMC_12_CD14.Mono.2	PBMC_12_CD14.Mono.2
PBMC_13_CD16.Mono	PBMC_13_CD16.Mono
PBMC_17_B	PBMC_17_B
PBMC_20_CD4.N1	PBMC_20_CD4.N1
PBMC_22_CD4.M	PBMC_22_CD4.M
PBMC_24_CD8.CM	PBMC_24_CD8.CM
PBMC_25_NK	PBMC_25_NK
BMMC22_B1_B	BMMC22_B1_B
BMMC22_CD14_pos_Mono	BMMC22_CD14_pos_Mono
BMMC22_CD16_pos_Mono	BMMC22_CD16_pos_Mono
BMMC22_CD4_pos_T_activated	BMMC22_CD4_pos_T_activated
BMMC22_CD4_pos_T_naive	BMMC22_CD4_pos_T_naive
BMMC22_CD8_pos_T	BMMC22_CD8_pos_T
BMMC22_CD8_pos_T_naive	BMMC22_CD8_pos_T_naive
