trait	nVariantsOverlappingEnhancers	nCommonVariantsOverlappingEnhancers	threshold	nVariantsTotal	nCommonVariantsTotal	recall	enrichment	biosample	method	SE_log_enr	CI_enr_low	CI_enr_high	p_enr	p_adjust_enr	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	key	pred_name_long	hex	score_threshold	n_points
all_matched	4523	10573275	-4999985.0	19097	165692370	0.236843483269624	3.71154236147261	all_matched	ABC_distanceToTSS	0.0129896208574107	3.61824221531974	3.80724834912367	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10573191	-4791652.29166667	19097	165692370	0.236843483269624	3.71157184827166	all_matched	ABC_distanceToTSS	0.0129896208581621	3.61827096087912	3.80727859627618	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10573175	-4714578.83333333	19097	165692370	0.236843483269624	3.71157746485793	all_matched	ABC_distanceToTSS	0.0129896208583052	3.61827643627555	3.80728435769305	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10573131	-4583319.58333333	19097	165692370	0.236843483269624	3.71159291055783	all_matched	ABC_distanceToTSS	0.0129896208586988	3.61829149370118	3.80730020167935	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10573038	-4442859.33333333	19097	165692370	0.236843483269624	3.71162555757383	all_matched	ABC_distanceToTSS	0.0129896208595307	3.61832332003591	3.80733369053889	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10573002	-4374986.875	19097	165692370	0.236843483269624	3.7116381952826	all_matched	ABC_distanceToTSS	0.0129896208598528	3.61833564005773	3.80734665412655	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10572701	-4186245.25	19097	165692370	0.236843483269624	3.71174386393782	all_matched	ABC_distanceToTSS	0.0129896208625454	3.61843865241245	3.80745504757826	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10572701	-4166654.16666667	19097	165692370	0.236843483269624	3.71174386393782	all_matched	ABC_distanceToTSS	0.0129896208625454	3.61843865241245	3.80745504757826	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10572576	-3958321.45833333	19097	165692370	0.236843483269624	3.71178774803787	all_matched	ABC_distanceToTSS	0.0129896208636637	3.61848143335323	3.80750006328391	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
all_matched	4523	10572576	-3918115.0	19097	165692370	0.236843483269624	3.71178774803787	all_matched	ABC_distanceToTSS	0.0129896208636637	3.61848143335323	3.80750006328391	0.0	0.0	0.23689859169677	0.0030764107107223	0.230813829074955	0.242873137464292	all_matched.all_matched	In element (ABC) & distance to TSS	#96a0b3	-54190.0	48
