method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
scE2G_ATAC	scE2G (scATAC)	False	645	0.262015503875969	0.396713615023474	0.263482280431433	0.0172919893069361	0.228123827613322	0.295907180138616	0.397674418604651	0.0236018069564503	0.350454923418765	0.442972306628184
ABC_distanceToTSS	In element (ABC) & distance to TSS	False	645	0.258914728682171	0.392018779342723	0.26040061633282	0.0172264951335433	0.225151418640571	0.29267803872377	0.393023255813954	0.0235537967217134	0.345854186068987	0.438183372616459
scE2G_multiome	scE2G (Multiome)	False	645	0.258914728682171	0.392018779342723	0.26040061633282	0.0172264951335433	0.225151418640571	0.29267803872377	0.393023255813954	0.0235537967217134	0.345854186068987	0.438183372616459
scABC	ABC (A=scATAC, C=power law)	False	645	0.224806201550388	0.34037558685446	0.226502311248074	0.0164302238621162	0.192603554522709	0.257008848578066	0.341860465116279	0.0228743731649665	0.295542639282196	0.385208534426724
Kendall	Kendall correlation (access. at E x expr. at G)	False	645	0.0310077519379845	0.0458715596330275	0.0338983050847458	0.0071035929185903	0.0170849656567137	0.0449305382192553	0.05	0.0103901176824204	0.0255073031803507	0.0662358160857043
ArchR	ArchR (high-confidence)	False	554	0.0090252707581227	0.0543478260869565	0.0125448028673835	0.0047116554153936	-0.0002094041636119	0.0182599456798575	0.0729166666666667	0.026536104804918	0.0023380163793369	0.106357635794576
Cicero	Cicero (co-accessibility)	False	126	0.0079365079365079	0.5	0.0230769230769231	0.0131688381294119	-0.0178739405153772	0.0337469563883931	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
SnapATAC	SnapATAC (p-value)	False	554	0.0072202166064982	0.285714285714286	0.010752688172043	0.0043661018819514	-0.0013371858349592	0.0157776190479557	0.333333333333333	0.111111111111111	0.0679405096542797	0.503488061774292
FigR	FigR (p-value)	False	554	0.0054151624548736	0.25	0.0089605734767025	0.0039892960724333	-0.0024037141707628	0.0132340390805102	0.3125	0.11587810136087	0.0228830947358135	0.477116905264187
DIRECTNET	DIRECTNET (high-confidence)	False	554	0.0054151624548736	0.103448275862069	0.0089605734767025	0.0039892960724333	-0.0024037141707628	0.0132340390805102	0.151515151515152	0.0624155940053863	-0.0188840404621623	0.2257805921863
ScenicPlus	SCENIC+ (importance)	False	527	0.0037950664136622	0.142857142857143	0.007532956685499	0.0037522651662333	-0.0035592381725992	0.0111493709999237	0.222222222222222	0.0979907892986885	-0.0492012749849396	0.334915560699225
Signac	Signac (p-value)	False	554	0.0036101083032491	0.125	0.007168458781362	0.0035713595847051	-0.0033896278586148	0.010609844465113	0.2	0.0894427190999916	-0.0503045081153163	0.300304508115316
