method	pred_name_long	intersectPoPS	nCredibleSetsTotal	recall	precision	recall_adjust	SE_recall	CI_recall_low	CI_recall_high	precision_adjust	SE_precision	CI_precision_low	CI_precision_high
scE2G_multiome	scE2G (Multiome)	True	645	0.128682170542636	0.734513274336283	0.130970724191063	0.0132428655441773	0.102726631023942	0.15463771006133	0.726495726495727	0.0412102889276113	0.653742592245675	0.815283956426891
scE2G_ATAC	scE2G (scATAC)	True	645	0.127131782945736	0.780952380952381	0.129429892141757	0.013176401558495	0.101306510445249	0.152957055446224	0.770642201834862	0.0402689124279293	0.702026762897042	0.85987799900772
ABC_distanceToTSS	In element (ABC) & distance to TSS	True	645	0.12093023255814	0.702702702702703	0.12326656394453	0.012904289020618	0.0956382908316327	0.146222174284646	0.695652173913044	0.042907405547406	0.618605733159733	0.786799672245673
scABC	ABC (A=scATAC, C=power law)	True	645	0.106976744186047	0.71875	0.10939907550077	0.0122525377252762	0.0829622115252868	0.130991276846806	0.71	0.0453762052181537	0.62981427201732	0.80768572798268
Kendall	Kendall correlation (access. at E x expr. at G)	True	645	0.0201550387596899	0.619047619047619	0.0231124807395994	0.0058982505010624	0.0085946802058121	0.0317153973135677	0.6	0.0979795897113271	0.427011151993407	0.811084086101831
Cicero	Cicero (co-accessibility)	True	126	0.0079365079365079	1.0	0.0230769230769231	0.0131688381294119	-0.0178739405153772	0.0337469563883931	0.6	0.219089023002066	0.570593405507882	1.42940659449212
DIRECTNET	DIRECTNET (high-confidence)	True	554	0.0054151624548736	1.0	0.0089605734767025	0.0039892960724333	-0.0024037141707628	0.0132340390805102	0.714285714285714	0.170746944190628	0.665342138916099	1.3346578610839
SnapATAC	SnapATAC (p-value)	True	554	0.0054151624548736	1.0	0.0089605734767025	0.0039892960724333	-0.0024037141707628	0.0132340390805102	0.714285714285714	0.170746944190628	0.665342138916099	1.3346578610839
ArchR	ArchR (high-confidence)	True	554	0.0054151624548736	0.375	0.0089605734767025	0.0039892960724333	-0.0024037141707628	0.0132340390805102	0.416666666666667	0.142318760638328	0.096060354824501	0.653939645175499
FigR	FigR (p-value)	True	554	0.0036101083032491	0.666666666666667	0.007168458781362	0.0035713595847051	-0.0033896278586148	0.010609844465113	0.571428571428571	0.187043905916565	0.300067347542501	1.03326598579083
ScenicPlus	SCENIC+ (importance)	True	527	0.0018975332068311	1.0	0.0056497175141242	0.0032526385656374	-0.0044775212365443	0.0082725876502065	0.6	0.219089023002066	0.570593405507882	1.42940659449212
Signac	Signac (p-value)	True	554	0.0018050541516245	0.5	0.0053763440860215	0.0030956782831518	-0.0042623637910759	0.007872472094325	0.5	0.204124145231932	0.0999240269703909	0.900075973029609
